Frequency [GHz],Re $Z_{in}$ (ohm)
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
27.66,19.6
